KORLIQUOR_ID,KORLIQUOR_NM,KORLIQUOR_CTGRY,KORLIQUOR_PRC
"10778370170","한산소곡주[소곡주700ml(도자기병.잔2개18%)]","전통주선물세트","25650.0"
"10778370171","한산소곡주[소곡주1.8L(18%)]","약주","36900.0"
"10778370222","[대통령취임식만찬주] 붉은진주머루와인[500ml]","국산와인/과일주","16200.0"
"11847845384","오디 와인 원통상자 선물세트 13도 750ml 전통주선물세트","전통주선물세트","20000.0"
"11869732159","[ 미르40 선물 세트 ] 375ml x 2병 / 40도 / 증류 주 식 소주 2018 우리 술 품평회 대통령 상","전통주선물세트","50350.0"
"11890044702","[ 감사 / 붉은원숭이 선물 세트 ] 375ml x 각각1병","전통주선물세트","27550.0"
"11893653674","복순도가 손막걸리3병 선물세트","막걸리/탁주","36000.0"
"11900559832","국순당고창명주 국순당 고창명주 복분자 13도 750ml","복분자주","22900.0"
"11900778637","한산소곡주 16도 1.5L","약주","24050.0"
"11900802309","문배주양조원 문배술 명작 40도 1L","소주","112500.0"
"11900802463","한산 예담은 한산소곡주 16도 750ml","약주","16340.0"
"11900858087","문배술 헤리티지 25도 375ml","소주","11900.0"
"11900906541","다래와인 7004S 8도 750ml","국산와인/과일주","25500.0"
"11900911053","한산소곡주 16도 1.8L","약주","25390.0"
"11900973300","국순당 명작 복분자주 선물세트 13도","복분자주","24650.0"
"11938371553","[영동와인 내츄럴와인] 컨츄리산머루드라이 12% 750ml 컨츄리와인 한국와인","국산와인/과일주","24300.0"
"11947393718","[ 동몽 ] 500ml / 17도 / 생 약주 / 선물 용 케이스 소 박스 포함","약주","35150.0"
"11947409615","[ 동몽 + 만강에 비친 달 선물 세트 ] 500ml x 각각 1병","전통주선물세트","51300.0"
"11948737391","배상면주가 느린마을 자자연연 3호 복분자음 12도 375ml","복분자주","26700.0"
"11956838281","한산소곡주 18도 700ml","약주","17300.0"
"11958161719","배상면주가 느린마을 빙탄복 7도 370ml","국산와인/과일주","7270.0"
"11963125175","한산소곡주 18도 1.8L","약주","33900.0"
"11963336443","문배주양조원 문배술 호리병 40도 400ml","소주","26280.0"
"11966976748","명가원 담솔 40도 375ml","리큐르주","20900.0"
"11967014716","이강주 특3호 25도 1L","전통주선물세트","38700.0"
"11974838163","[ 국화주 ] 375ml / 15도 / 가을의 국화 과하주","약주","19000.0"
"11979264416","한산 불소곡주 43도 700ml","리큐르주","35820.0"
"12107826923","이강주 19도 375ml","리큐르주","6850.0"
"12107897417","이강주 25도 400ml","리큐르주","20000.0"
"12109248419","이강주 18호 25도 1L","전통주선물세트","70200.0"
"12115926419","백련생막걸리 미스티 7도 500ml","막걸리/탁주","44200.0"
"12115929782","술샘 술취한 원숭이 10.8도 375ml","막걸리/탁주","10550.0"
"12115937414","술아막걸리 8도 450ml","막걸리/탁주","31500.0"
"12115939843","술샘 이화주 8도 100ml","막걸리/탁주","9600.0"
"12116067782","컨츄리 캠벨 스위트 12도 750ml","국산와인/과일주","17300.0"
"12116084874","안동소주 일품 21도 350ml","소주","7100.0"
"12116122428","명인 안동소주 22도 360ml","소주","5500.0"
"12116145995","명인 안동소주 호리병 45도 800ml","소주","34680.0"
"12116173029","안동소주 일품 골드 40도 500ml","소주","27200.0"
"12116177388","박재서명인 안동소주 양반탈 45도 800ml","소주","41000.0"
"12116185375","안동소주 일품 특1호 선물세트 21도 400ml","전통주선물세트","55680.0"
"12116185376","안동소주 일품 특2호 선물세트","전통주선물세트","62100.0"
"12116585905","술샘 미르54 54도 375ml","소주","33250.0"
"12116713476","금산인삼주 23도 375ml","일반증류주","14500.0"
"12116716453","추성고을 추성주 25도 400ml","일반증류주","28500.0"
"12116716454","추성고을 추성주 25도 350ml","일반증류주","26500.0"
"12126807998","타미앙스(40%) 도자기 500ml_추성고을","일반증류주","45000.0"
"12129212147","니모메 11도 375ml","약주","9100.0"
"12140144653","백련생막걸리 스노우 6도 750ml","막걸리/탁주","5065.0"
"12140203164","명가원 솔송주 담솔 40도 500ml","리큐르주","27590.0"
