sweetness,body,carbonation,flavor,alcohol,acidity,aroma_intensity,finish,bti_code,is_hard
6.86,7.84,6.62,1.88,4.45,3.22,6.6,6.03,SHFCL,0
8.06,2.8,4.54,2.41,8.02,3.87,3.45,3.13,SLMCL,1
8.39,3.29,1.08,6.07,4.55,3.42,6.13,5.53,SLMUL,0
3.0,8.57,7.88,2.59,5.01,4.92,4.13,4.33,DHFCL,0
2.61,3.08,7.29,5.49,9.85,5.18,3.51,6.16,DLFUH,0
2.9,8.06,1.88,3.49,5.69,7.15,5.79,7.05,DHMCL,0
8.11,0.62,8.28,2.48,9.21,4.65,4.76,6.95,SLFCH,0
2.41,7.96,7.55,3.84,9.01,1.93,6.22,4.19,DHFCH,0
3.95,6.19,6.37,7.02,4.74,8.0,6.5,6.42,DHFUL,0
2.86,8.86,8.04,7.04,8.81,4.15,4.94,5.26,DHFUH,0
7.32,2.75,3.16,7.16,9.52,3.36,2.98,2.75,SLMUH,0
7.85,8.35,2.05,7.07,5.02,5.81,4.98,6.46,SHMUL,0
3.26,1.15,7.75,7.32,9.27,6.94,3.9,2.91,DLFUH,0
7.43,5.74,6.58,1.22,9.42,5.31,4.25,6.17,SHFCH,0
6.8,4.33,7.45,6.36,9.33,5.87,5.86,4.66,SLFUH,1
7.27,6.34,2.98,2.11,8.9,5.75,3.28,6.16,SHMCH,1
3.06,6.9,3.07,0.45,9.76,1.3,4.66,6.28,DHMCH,0
7.21,2.31,1.39,3.08,5.31,2.76,6.05,8.08,SLMCL,0
7.73,3.35,6.97,9.4,4.77,3.69,3.51,2.4,SLFUL,0
6.52,6.86,2.6,7.28,5.43,6.96,3.54,3.9,SHMUL,0
2.34,1.44,5.66,6.52,5.29,6.21,7.22,5.56,DLFUL,1
8.31,7.35,2.11,2.64,4.51,3.28,3.59,4.05,SHMCL,0
3.08,4.95,2.65,7.03,5.02,4.63,1.94,6.68,DHMUL,1
4.89,2.38,7.61,7.15,8.41,4.13,6.06,4.69,SLFUH,1
6.15,6.3,1.46,7.06,5.56,5.87,5.78,3.35,SHMUL,0
7.47,2.88,2.9,7.13,4.56,8.18,6.5,6.23,SLMUL,0
2.12,4.49,2.51,8.22,8.98,6.03,2.82,4.31,DLMUH,1
6.94,8.8,6.76,3.51,4.18,6.61,4.39,3.46,SHFCL,0
7.8,8.36,1.63,2.24,9.87,7.23,3.84,4.27,SHMCH,1
